"Source","Target","Type"
"Emma Little Pengelly","3 Apr, more ind votes (No)","Undirected"
"Julia Lopez","3 Apr, more ind votes (No)","Undirected"
"Ruth Smeeth","3 Apr, more ind votes (Aye)","Undirected"
"Jack Lopresti","3 Apr, more ind votes (No)","Undirected"
"Mr Jonathan Lord","3 Apr, more ind votes (No)","Undirected"
"Tim Loughton","3 Apr, more ind votes (No)","Undirected"
"Craig Mackinlay","3 Apr, more ind votes (No)","Undirected"
"Rachel Maclean","3 Apr, more ind votes (No)","Undirected"
"Mrs Anne Main","3 Apr, more ind votes (No)","Undirected"
"Alan Mak","3 Apr, more ind votes (No)","Undirected"
"Kit Malthouse","3 Apr, more ind votes (No)","Undirected"
"John Mann","3 Apr, more ind votes (No)","Undirected"
"Scott Mann","3 Apr, more ind votes (No)","Undirected"
"Angela Smith","3 Apr, more ind votes (Aye)","Undirected"
"Paul Masterton","3 Apr, more ind votes (No)","Undirected"
"Mrs Theresa May","3 Apr, more ind votes (No)","Undirected"
"Paul Maynard","3 Apr, more ind votes (No)","Undirected"
"Sir Patrick McLoughlin","3 Apr, more ind votes (No)","Undirected"
"Stephen McPartland","3 Apr, more ind votes (No)","Undirected"
"Esther McVey","3 Apr, more ind votes (No)","Undirected"
"Mark Menzies","3 Apr, more ind votes (No)","Undirected"
"Johnny Mercer","3 Apr, more ind votes (No)","Undirected"
