"Source","Target","Type"
"Matt Rodda","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Sajid Javid","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Danielle Rowley","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Chris Ruane","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Lloyd Russell-Moyle","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Joan Ryan","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Liz Saville Roberts","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Naz Shah","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mr Virendra Sharma","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mr Barry Sheerman","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Tommy Sheppard","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Paula Sherriff","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mr Ranil Jayawardena","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Mr Gavin Shuker","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Tulip Siddiq","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mr Dennis Skinner","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Andy Slaughter","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Angela Smith","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Cat Smith","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Eleanor Smith","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Jeff Smith","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Laura Smith","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Nick Smith","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Sir Bernard Jenkin","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Owen Smith","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Karin Smyth","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Alex Sobel","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Anna Soubry","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"John Spellar","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Keir Starmer","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Chris Stephens","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Jo Stevens","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Jamie Stone","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Wes Streeting","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Andrea Jenkyns","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Mr Paul Sweeney","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Jo Swinson","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mark Tami","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Alison Thewliss","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Gareth Thomas","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Nick Thomas-Symonds","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Emily Thornberry","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Stephen Timms","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Jon Trickett","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Anna Turley","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Robert Jenrick","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Karl Turner","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Derek Twigg","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Stephen Twigg","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Liz Twist","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Chuka Umunna","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Keith Vaz","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Valerie Vaz","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Thelma Walker","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Tom Watson","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Catherine West","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mr Philip Hammond","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Boris Johnson","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Matt Western","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Dr Alan Whitehead","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Martin Whitfield","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Dr Philippa Whitford","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Dr Paul Williams","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Hywel Williams","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Chris Williamson","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Phil Wilson","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Pete Wishart","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Dr Sarah Wollaston","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Dr Caroline Johnson","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"John Woodcock","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mohammad Yasin","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Daniel Zeichner","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Louise Haigh","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Fabian Hamilton","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"David Hanson","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Emma Hardy","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Ms Harriet Harman","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Carolyn Harris","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Helen Hayes","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Gareth Johnson","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Sue Hayman","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"John Healey","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Sir Mark Hendrick","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Drew Hendry","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mr Stephen Hepburn","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Lady Hermon","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mike Hill","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Meg Hillier","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Wera Hobhouse","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Dame Margaret Hodge","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Andrew Jones","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Mrs Sharon Hodgson","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Kate Hollern","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Stewart Hosie","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mr George Howarth","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Dr Rupa Huq","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Imran Hussain","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Christine Jardine","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Dan Jarvis","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Diana Johnson","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Darren Jones","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mr David Jones","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Gerald Jones","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Graham P Jones","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Helen Jones","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mr Kevan Jones","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Sarah Jones","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Susan Elan Jones","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mike Kane","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Barbara Keeley","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Liz Kendall","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Afzal Khan","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mr Marcus Jones","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Ged Killen","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Stephen Kinnock","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Peter Kyle","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Lesley Laird","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Ben Lake","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Norman Lamb","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mr David Lammy","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Ian Lavery","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Chris Law","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Dr Phillip Lee","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Daniel Kawczynski","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Karen Lee","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mr Chris Leslie","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mrs Emma Lewell-Buck","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Clive Lewis","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"David Linden","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Tony Lloyd","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Rebecca Long Bailey","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Caroline Lucas","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Ian C. Lucas","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Holly Lynch","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Gillian Keegan","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Angus Brendan MacNeil","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Justin Madders","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mr Khalid Mahmood","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Shabana Mahmood","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Seema Malhotra","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Gordon Marsden","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Sandy Martin","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Rachael Maskell","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Christian Matheson","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Steve McCabe","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Seema Kennedy","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Kerry McCarthy","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Siobhain McDonagh","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Andy McDonald","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Stewart Malcolm McDonald","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Stuart C. McDonald","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"John McDonnell","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mr Pat McFadden","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Conor McGinn","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Alison McGovern","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Liz McInnes","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Stephen Kerr","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Catherine McKinnell","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Jim McMahon","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Anna McMorrin","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"John McNally","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Ian Mearns","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Edward Miliband","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Carol Monaghan","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mrs Madeleine Moon","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Layla Moran","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Jessica Morden","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Stephen Hammond","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Julian Knight","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Stephen Morgan","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Anne Marie Morris","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Grahame Morris","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Ian Murray","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Ms Diane Abbott","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Debbie Abrahams","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Rushanara Ali","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Heidi Allen","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Dr Rosena Allin-Khan","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mike Amesbury","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Sir Greg Knight","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Tonia Antoniazzi","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Jonathan Ashworth","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mr Adrian Bailey","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Hannah Bardell","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Guto Bebb","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Margaret Beckett","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Hilary Benn","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Luciana Berger","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mr Clive Betts","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mhairi Black","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Kwasi Kwarteng","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Ian Blackford","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Kirsty Blackman","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Dr Roberta Blackman-Woods","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Paul Blomfield","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Tracy Brabin","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mr Ben Bradshaw","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Tom Brake","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Kevin Brennan","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Deidre Brock","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Alan Brown","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"John Lamont","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Lyn Brown","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mr Nicholas Brown","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Chris Bryant","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Ms Karen Buck","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Richard Burden","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Richard Burgon","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Dawn Butler","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Liam Byrne","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Sir Vince Cable","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Ruth Cadbury","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mark Lancaster","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Dr Lisa Cameron","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Sir Alan Campbell","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Dan Carden","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mr Alistair Carmichael","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Sarah Champion","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Douglas Chapman","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Jenny Chapman","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Bambos Charalambous","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Joanna Cherry","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mr Kenneth Clarke","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mrs Pauline Latham","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Ann Clwyd","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Vernon Coaker","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Ann Coffey","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Julie Cooper","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Yvette Cooper","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Jeremy Corbyn","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Ronnie Cowan","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Neil Coyle","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Sir David Crausby","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Angela Crawley","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Andrea Leadsom","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Mary Creagh","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Stella Creasy","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Jon Cruddas","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"John Cryer","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Judith Cummins","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Alex Cunningham","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mr Jim Cunningham","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Janet Daby","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Sir Edward Davey","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Wayne David","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Jeremy Lefroy","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Geraint Davies","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Martyn Day","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Marsha De Cordova","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Gloria De Piero","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Emma Dent Coad","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mr Tanmanjeet Singh Dhesi","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Martin Docherty-Hughes","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Anneliese Dodds","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Stephen Doughty","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Peter Dowd","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Sir Edward Leigh","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Dr David Drew","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Jack Dromey","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Rosie Duffield","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Maria Eagle","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Ms Angela Eagle","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Jonathan Edwards","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Clive Efford","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Julie Elliott","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Dame Louise Ellman","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Chris Elmore","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Sir Oliver Letwin","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Bill Esterson","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Chris Evans","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Paul Farrelly","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Tim Farron","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Marion Fellows","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Colleen Fletcher","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Yvonne Fovargue","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Vicky Foxcroft","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"James Frith","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Gill Furniss","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Matt Hancock","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Andrew Lewer","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Hugh Gaffney","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mike Gapes","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Barry Gardiner","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Ruth George","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Stephen Gethins","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Patricia Gibson","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Preet Kaur Gill","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mary Glindon","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Helen Goodman","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Patrick Grady","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Brandon Lewis","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Peter Grant","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Neil Gray","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Kate Green","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Lilian Greenwood","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Margaret Greenwood","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Mr Dominic Grieve","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Nia Griffith","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"John Grogan","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Andrew Gwynne","29 Jan, b'stop alt. arr'ments (No)","Undirected"
"Dr Julian Lewis","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Mr Ian Liddell-Grainger","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Mr David Lidington","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Emma Little Pengelly","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Stephen Lloyd","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Julia Lopez","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Jack Lopresti","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Mr Jonathan Lord","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Greg Hands","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Tim Loughton","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Craig Mackinlay","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Rachel Maclean","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Mrs Anne Main","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Alan Mak","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Kit Malthouse","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"John Mann","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Scott Mann","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Paul Masterton","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Mrs Theresa May","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Mr Mark Harper","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Paul Maynard","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Sir Patrick McLoughlin","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Stephen McPartland","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Esther McVey","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Mark Menzies","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Johnny Mercer","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Huw Merriman","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Stephen Metcalfe","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Mrs Maria Miller","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Amanda Milling","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Richard Harrington","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Nigel Mills","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Anne Milton","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Mr Andrew Mitchell","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Damien Moore","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Penny Mordaunt","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Nicky Morgan","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"David Morris","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"James Morris","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Wendy Morton","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"David Mundell","29 Jan, b'stop alt. arr'ments (Aye)","Undirected"
"Hannah Bardell","29 Jan, ext and no ND (Aye)","Undirected"
"Ronnie Cowan","29 Jan, ext and no ND (Aye)","Undirected"
"Sir Oliver Letwin","29 Jan, ext and no ND (No)","Undirected"
"Andrew Lewer","29 Jan, ext and no ND (No)","Undirected"
"Brandon Lewis","29 Jan, ext and no ND (No)","Undirected"
"Dr Julian Lewis","29 Jan, ext and no ND (No)","Undirected"
"Mr Ian Liddell-Grainger","29 Jan, ext and no ND (No)","Undirected"
"Mr David Lidington","29 Jan, ext and no ND (No)","Undirected"
"Emma Little Pengelly","29 Jan, ext and no ND (No)","Undirected"
"Julia Lopez","29 Jan, ext and no ND (No)","Undirected"
"Jack Lopresti","29 Jan, ext and no ND (No)","Undirected"
"Mr Jonathan Lord","29 Jan, ext and no ND (No)","Undirected"
"Angela Crawley","29 Jan, ext and no ND (Aye)","Undirected"
"Tim Loughton","29 Jan, ext and no ND (No)","Undirected"
"Craig Mackinlay","29 Jan, ext and no ND (No)","Undirected"
"Rachel Maclean","29 Jan, ext and no ND (No)","Undirected"
"Mrs Anne Main","29 Jan, ext and no ND (No)","Undirected"
"Alan Mak","29 Jan, ext and no ND (No)","Undirected"
"Kit Malthouse","29 Jan, ext and no ND (No)","Undirected"
"Scott Mann","29 Jan, ext and no ND (No)","Undirected"
"Paul Masterton","29 Jan, ext and no ND (No)","Undirected"
"Mrs Theresa May","29 Jan, ext and no ND (No)","Undirected"
"Paul Maynard","29 Jan, ext and no ND (No)","Undirected"
"Martyn Day","29 Jan, ext and no ND (Aye)","Undirected"
"Sir Patrick McLoughlin","29 Jan, ext and no ND (No)","Undirected"
"Stephen McPartland","29 Jan, ext and no ND (No)","Undirected"
