"Id","Label","Type","TypeNumber","Party","Topic","VoteName"
"Ind 2, C Mkt 2.0 (Aye)","Ind 2, C Mkt 2.0 (Aye)","Voted Motion",1.5,"Motion","MARKETS","Aye"
"Ind 2, C Mkt 2.0 (No)","Ind 2, C Mkt 2.0 (No)","Voted Motion",1.5,"Motion","MARKETS","No"
"No conf (Aye)","No conf (Aye)","Voted Motion",1.5,"Motion","NODEAL","Aye"
"No conf (No)","No conf (No)","Voted Motion",1.5,"Motion","NODEAL","No"
"Ind 2, Conf pub vote (Aye)","Ind 2, Conf pub vote (Aye)","Voted Motion",1.5,"Motion","PROCESS","Aye"
"Ind 2, Conf pub vote (No)","Ind 2, Conf pub vote (No)","Voted Motion",1.5,"Motion","PROCESS","No"
"MV 2 (Aye)","MV 2 (Aye)","Voted Motion",1.5,"Motion","PMS","Aye"
"MV 2 (No)","MV 2 (No)","Voted Motion",1.5,"Motion","PMS","No"
"14 Feb, Ack (Aye)","14 Feb, Ack (Aye)","Voted Motion",1.5,"Motion","PMS","Aye"
"14 Feb, Ack (No)","14 Feb, Ack (No)","Voted Motion",1.5,"Motion","PMS","No"
"27 Feb, no ND, even if ext'n (Aye)","27 Feb, no ND, even if ext'n (Aye)","Voted Motion",1.5,"Motion","NODEAL","Aye"
"27 Feb, no ND, even if ext'n (No)","27 Feb, no ND, even if ext'n (No)","Voted Motion",1.5,"Motion","NODEAL","No"
"14 Feb, delay by 3 mth (Aye)","14 Feb, delay by 3 mth (Aye)","Voted Motion",1.5,"Motion","PROCESS","Aye"
"14 Feb, delay by 3 mth (No)","14 Feb, delay by 3 mth (No)","Voted Motion",1.5,"Motion","PROCESS","No"
"14 Feb, MPs decide if ND by 27/2 (Aye)","14 Feb, MPs decide if ND by 27/2 (Aye)","Voted Motion",1.5,"Motion","PROCESS","Aye"
"14 Feb, MPs decide if ND by 27/2 (No)","14 Feb, MPs decide if ND by 27/2 (No)","Voted Motion",1.5,"Motion","PROCESS","No"
"27 Feb, Cust U + s.mkt alig (Aye)","27 Feb, Cust U + s.mkt alig (Aye)","Voted Motion",1.5,"Motion","MARKETS","Aye"
"27 Feb, Cust U + s.mkt alig (No)","27 Feb, Cust U + s.mkt alig (No)","Voted Motion",1.5,"Motion","MARKETS","No"
"14 Mar, MPs solve (Aye)","14 Mar, MPs solve (Aye)","Voted Motion",1.5,"Motion","PROCESS","Aye"
"14 Mar, MPs solve (No)","14 Mar, MPs solve (No)","Voted Motion",1.5,"Motion","PROCESS","No"
"14 Mar, ext if WA approved (Aye)","14 Mar, ext if WA approved (Aye)","Voted Motion",1.5,"Motion","PMS","Aye"
"14 Mar, ext if WA approved (No)","14 Mar, ext if WA approved (No)","Voted Motion",1.5,"Motion","PMS","No"
"27 Feb, no ND ever (Aye)","27 Feb, no ND ever (Aye)","Voted Motion",1.5,"Motion","NODEAL","Aye"
"27 Feb, no ND ever (No)","27 Feb, no ND ever (No)","Voted Motion",1.5,"Motion","NODEAL","No"
"14 Mar, MPs debate (Aye)","14 Mar, MPs debate (Aye)","Voted Motion",1.5,"Motion","PROCESS","Aye"
"14 Mar, MPs debate (No)","14 Mar, MPs debate (No)","Voted Motion",1.5,"Motion","PROCESS","No"
"14 Mar, limit MPs' debate (Aye)","14 Mar, limit MPs' debate (Aye)","Voted Motion",1.5,"Motion","PROCESS","Aye"
"14 Mar, limit MPs' debate (No)","14 Mar, limit MPs' debate (No)","Voted Motion",1.5,"Motion","PROCESS","No"
"14 Mar, 2nd ref'm (Aye)","14 Mar, 2nd ref'm (Aye)","Voted Motion",1.5,"Motion","PROCESS","Aye"
"14 Mar, 2nd ref'm (No)","14 Mar, 2nd ref'm (No)","Voted Motion",1.5,"Motion","PROCESS","No"
"MV 2.5 (Aye)","MV 2.5 (Aye)","Voted Motion",1.5,"Motion","PMS","Aye"
"MV 2.5 (No)","MV 2.5 (No)","Voted Motion",1.5,"Motion","PMS","No"
