"Id","Label","Type","TypeNumber","Party","Topic","VoteName"
"Margot James","Margot James","member",1,"Conservative","Member","Member"
"Christine Jardine","Christine Jardine","member",1,"Liberal Democrat","Member","Member"
"Dan Jarvis","Dan Jarvis","member",1,"Labour","Member","Member"
"Sajid Javid","Sajid Javid","member",1,"Conservative","Member","Member"
"Mr Ranil Jayawardena","Mr Ranil Jayawardena","member",1,"Conservative","Member","Member"
"Sir Bernard Jenkin","Sir Bernard Jenkin","member",1,"Conservative","Member","Member"
"Gavin Newlands","Gavin Newlands","member",1,"Scottish National Party","Member","Member"
"Andrea Jenkyns","Andrea Jenkyns","member",1,"Conservative","Member","Member"
"Robert Jenrick","Robert Jenrick","member",1,"Conservative","Member","Member"
"Boris Johnson","Boris Johnson","member",1,"Conservative","Member","Member"
"Diana Johnson","Diana Johnson","member",1,"Labour","Member","Member"
"Gareth Johnson","Gareth Johnson","member",1,"Conservative","Member","Member"
"Joseph Johnson","Joseph Johnson","member",1,"Conservative","Member","Member"
"Andrew Jones","Andrew Jones","member",1,"Conservative","Member","Member"
"Darren Jones","Darren Jones","member",1,"Labour","Member","Member"
"Gerald Jones","Gerald Jones","member",1,"Labour","Member","Member"
"Graham P Jones","Graham P Jones","member",1,"Labour","Member","Member"
"Sarah Newton","Sarah Newton","member",1,"Conservative","Member","Member"
"Helen Jones","Helen Jones","member",1,"Labour","Member","Member"
"Mr David Jones","Mr David Jones","member",1,"Conservative","Member","Member"
"Mr Kevan Jones","Mr Kevan Jones","member",1,"Labour","Member","Member"
"Mr Marcus Jones","Mr Marcus Jones","member",1,"Conservative","Member","Member"
"Sarah Jones","Sarah Jones","member",1,"Labour","Member","Member"
"Susan Elan Jones","Susan Elan Jones","member",1,"Labour","Member","Member"
"Mike Kane","Mike Kane","member",1,"Labour","Member","Member"
"Daniel Kawczynski","Daniel Kawczynski","member",1,"Conservative","Member","Member"
"Gillian Keegan","Gillian Keegan","member",1,"Conservative","Member","Member"
"Barbara Keeley","Barbara Keeley","member",1,"Labour","Member","Member"
"Caroline Nokes","Caroline Nokes","member",1,"Conservative","Member","Member"
"Liz Kendall","Liz Kendall","member",1,"Labour","Member","Member"
"Seema Kennedy","Seema Kennedy","member",1,"Conservative","Member","Member"
"Stephen Kerr","Stephen Kerr","member",1,"Conservative","Member","Member"
"Afzal Khan","Afzal Khan","member",1,"Labour","Member","Member"
"Ged Killen","Ged Killen","member",1,"Labour (Co-op)","Member","Member"
"Stephen Kinnock","Stephen Kinnock","member",1,"Labour","Member","Member"
"Julian Knight","Julian Knight","member",1,"Conservative","Member","Member"
"Sir Greg Knight","Sir Greg Knight","member",1,"Conservative","Member","Member"
"Kwasi Kwarteng","Kwasi Kwarteng","member",1,"Conservative","Member","Member"
"Peter Kyle","Peter Kyle","member",1,"Labour","Member","Member"
"Mr John Baron","Mr John Baron","member",1,"Conservative","Member","Member"
"Jesse Norman","Jesse Norman","member",1,"Conservative","Member","Member"
"Lesley Laird","Lesley Laird","member",1,"Labour","Member","Member"
"Ben Lake","Ben Lake","member",1,"Plaid Cymru","Member","Member"
"Norman Lamb","Norman Lamb","member",1,"Liberal Democrat","Member","Member"
"Mr David Lammy","Mr David Lammy","member",1,"Labour","Member","Member"
"John Lamont","John Lamont","member",1,"Conservative","Member","Member"
"Mark Lancaster","Mark Lancaster","member",1,"Conservative","Member","Member"
"Mrs Pauline Latham","Mrs Pauline Latham","member",1,"Conservative","Member","Member"
"Ian Lavery","Ian Lavery","member",1,"Labour","Member","Member"
"Chris Law","Chris Law","member",1,"Scottish National Party","Member","Member"
"Andrea Leadsom","Andrea Leadsom","member",1,"Conservative","Member","Member"
"Alex Norris","Alex Norris","member",1,"Labour (Co-op)","Member","Member"
"Dr Phillip Lee","Dr Phillip Lee","member",1,"Conservative","Member","Member"
"Karen Lee","Karen Lee","member",1,"Labour","Member","Member"
"Jeremy Lefroy","Jeremy Lefroy","member",1,"Conservative","Member","Member"
"Mr Chris Leslie","Mr Chris Leslie","member",1,"Change UK - The Independent Group","Member","Member"
"Sir Oliver Letwin","Sir Oliver Letwin","member",1,"Conservative","Member","Member"
"Mrs Emma Lewell-Buck","Mrs Emma Lewell-Buck","member",1,"Labour","Member","Member"
"Andrew Lewer","Andrew Lewer","member",1,"Conservative","Member","Member"
"Brandon Lewis","Brandon Lewis","member",1,"Conservative","Member","Member"
"Clive Lewis","Clive Lewis","member",1,"Labour","Member","Member"
"Mr Ivan Lewis","Mr Ivan Lewis","member",1,"Independent","Member","Member"
"Neil O'Brien","Neil O'Brien","member",1,"Conservative","Member","Member"
"Mr David Lidington","Mr David Lidington","member",1,"Conservative","Member","Member"
"David Linden","David Linden","member",1,"Scottish National Party","Member","Member"
"Emma Little Pengelly","Emma Little Pengelly","member",1,"Democratic Unionist Party","Member","Member"
"Tony Lloyd","Tony Lloyd","member",1,"Labour","Member","Member"
"Rebecca Long Bailey","Rebecca Long Bailey","member",1,"Labour","Member","Member"
"Julia Lopez","Julia Lopez","member",1,"Conservative","Member","Member"
"Jack Lopresti","Jack Lopresti","member",1,"Conservative","Member","Member"
"Mr Jonathan Lord","Mr Jonathan Lord","member",1,"Conservative","Member","Member"
"Tim Loughton","Tim Loughton","member",1,"Conservative","Member","Member"
"Caroline Lucas","Caroline Lucas","member",1,"Green Party","Member","Member"
"Brendan O'Hara","Brendan O'Hara","member",1,"Scottish National Party","Member","Member"
"Ian C. Lucas","Ian C. Lucas","member",1,"Labour","Member","Member"
"Holly Lynch","Holly Lynch","member",1,"Labour","Member","Member"
"Angus Brendan MacNeil","Angus Brendan MacNeil","member",1,"Scottish National Party","Member","Member"
"Craig Mackinlay","Craig Mackinlay","member",1,"Conservative","Member","Member"
"Rachel Maclean","Rachel Maclean","member",1,"Conservative","Member","Member"
"Justin Madders","Justin Madders","member",1,"Labour","Member","Member"
"Mr Khalid Mahmood","Mr Khalid Mahmood","member",1,"Labour","Member","Member"
"Shabana Mahmood","Shabana Mahmood","member",1,"Labour","Member","Member"
"Mrs Anne Main","Mrs Anne Main","member",1,"Conservative","Member","Member"
"Alan Mak","Alan Mak","member",1,"Conservative","Member","Member"
"Jared O'Mara","Jared O'Mara","member",1,"Independent","Member","Member"
"Seema Malhotra","Seema Malhotra","member",1,"Labour (Co-op)","Member","Member"
"Kit Malthouse","Kit Malthouse","member",1,"Conservative","Member","Member"
"John Mann","John Mann","member",1,"Labour","Member","Member"
"Scott Mann","Scott Mann","member",1,"Conservative","Member","Member"
"Gordon Marsden","Gordon Marsden","member",1,"Labour","Member","Member"
"Sandy Martin","Sandy Martin","member",1,"Labour","Member","Member"
"Rachael Maskell","Rachael Maskell","member",1,"Labour (Co-op)","Member","Member"
"Paul Masterton","Paul Masterton","member",1,"Conservative","Member","Member"
"Christian Matheson","Christian Matheson","member",1,"Labour","Member","Member"
"Mrs Theresa May","Mrs Theresa May","member",1,"Conservative","Member","Member"
"Dr Matthew Offord","Dr Matthew Offord","member",1,"Conservative","Member","Member"
